date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0.0
2020-02-02,0,0,0.0
2020-02-03,0,0,0.0
2020-02-04,0,0,0.0
2020-02-05,0,0,0.0
2020-02-06,0,0,0.0
2020-02-07,0,0,0.0
2020-02-08,0,0,0.0
2020-02-09,0,0,0.0
2020-02-10,0,0,0.0
2020-02-11,0,0,0.0
2020-02-12,0,0,0.0
2020-02-13,0,0,0.0
2020-02-14,0,0,0.0
2020-02-15,0,0,0.0
2020-02-16,0,0,0.0
2020-02-17,0,0,0.0
2020-02-18,0,0,0.0
2020-02-19,0,0,0.0
2020-02-20,0,0,0.0
2020-02-21,0,0,0.0
2020-02-22,0,0,0.0
2020-02-23,0,0,0.0
2020-02-24,0,0,0.0
2020-02-25,0,0,0.0
2020-02-26,0,0,0.0
2020-02-27,0,0,0.0
2020-02-28,0,0,0.0
2020-02-29,0,0,0.0
2020-03-01,0,0,0.0
2020-03-02,1,0,0.4
2020-03-03,0,0,0.4
2020-03-04,0,0,0.4
2020-03-05,0,0,0.4
2020-03-06,0,0,0.4
2020-03-07,0,0,0.4
2020-03-08,0,0,0.4
2020-03-09,0,0,0.0
2020-03-10,1,0,0.5
2020-03-11,0,0,0.5
2020-03-12,0,0,0.5
2020-03-13,1,0,1.0
2020-03-14,1,0,1.5
2020-03-15,0,0,1.5
2020-03-16,0,0,1.5
2020-03-17,2,0,1.9
2020-03-18,2,0,2.9
2020-03-19,2,0,3.8
2020-03-20,1,0,3.8
2020-03-21,1,0,3.8
2020-03-22,0,0,3.8
2020-03-23,1,0,4.2
2020-03-24,2,0,4.3
2020-03-25,1,0,3.8
2020-03-26,1,0,3.3
2020-03-27,5,0,5.2
2020-03-28,6,0,7.5
2020-03-29,0,0,7.5
2020-03-30,4,0,9.0
2020-03-31,6,0,10.9
2020-04-01,11,0,15.6
2020-04-02,11,0,20.4
2020-04-03,8,0,21.8
2020-04-04,4,0,20.9
2020-04-05,4,0,22.8
2020-04-06,11,0,26.1
2020-04-07,13,0,29.4
2020-04-08,10,0,28.9
2020-04-09,9,0,28.0
2020-04-10,6,0,27.0
2020-04-11,3,0,26.5
2020-04-12,5,0,27.0
2020-04-13,11,0,27.0
2020-04-14,7,0,24.1
2020-04-15,7,0,22.8
2020-04-16,10,0,23.2
2020-04-17,14,7,27.0
2020-04-18,6,0,28.5
2020-04-19,9,22,30.3
2020-04-20,15,1,32.2
2020-04-21,11,6,34.2
2020-04-22,24,9,42.1
2020-04-23,21,11,47.4
2020-04-24,21,15,50.7
2020-04-25,19,8,56.8
2020-04-26,27,10,65.4
2020-04-27,24,9,69.7
2020-04-28,21,7,74.4
2020-04-29,50,0,86.8
2020-04-30,25,13,88.6
2020-05-01,21,11,88.7
2020-05-02,25,18,91.5
2020-05-03,20,15,88.2
2020-05-04,28,4,90.0
2020-05-05,35,10,96.6
2020-05-06,19,19,81.9
2020-05-07,21,14,80.1
2020-05-08,22,18,80.5
2020-05-09,8,13,72.5
2020-05-10,13,2,69.2
2020-05-11,31,7,70.7
2020-05-12,12,6,59.7
2020-05-13,10,12,55.5
2020-05-14,21,7,55.4
2020-05-15,12,3,50.7
2020-05-16,7,4,50.2
2020-05-17,4,4,45.9
2020-05-18,6,1,34.1
2020-05-19,6,1,31.3
2020-05-20,8,2,30.3
2020-05-21,10,2,25.2
2020-05-22,6,3,22.3
2020-05-23,4,2,20.9
2020-05-24,3,0,20.4
2020-05-25,7,0,20.8
2020-05-26,5,2,20.4
2020-05-27,10,1,21.3
2020-05-28,5,1,18.9
2020-05-29,2,5,17.1
2020-05-30,3,0,16.6
2020-05-31,1,0,15.7
2020-06-01,4,1,14.3
2020-06-02,7,2,15.2
2020-06-03,2,2,11.4
2020-06-04,1,1,9.5
2020-06-05,3,0,9.9
2020-06-06,0,0,8.5
2020-06-07,1,0,8.5
2020-06-08,4,0,8.5
2020-06-09,2,0,6.1
2020-06-10,2,0,6.2
2020-06-11,2,0,6.6
2020-06-12,3,0,6.6
2020-06-13,2,0,7.6
2020-06-14,2,0,8.0
2020-06-15,1,0,6.6
2020-06-16,6,0,8.6
2020-06-17,1,0,8.0
2020-06-18,2,0,8.1
2020-06-19,3,0,8.1
2020-06-20,0,0,7.1
2020-06-21,1,0,6.7
2020-06-22,1,0,6.7
2020-06-23,0,1,3.8
2020-06-24,0,0,3.4
2020-06-25,1,0,2.8
2020-06-26,1,0,1.9
2020-06-27,1,0,2.4
2020-06-28,0,0,1.9
2020-06-29,3,0,2.8
2020-06-30,0,0,2.8
