date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-21,1,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,1,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,1,0,0.1
2020-02-29,1,0,0.1
2020-03-01,1,0,0.1
2020-03-02,2,0,0.1
2020-03-03,7,0,0.3
2020-03-04,2,0,0.3
2020-03-05,3,0,0.4
2020-03-06,7,0,0.4
2020-03-07,5,0,0.5
2020-03-08,1,0,0.6
2020-03-09,10,0,0.8
2020-03-10,12,0,0.8
2020-03-11,25,0,1.3
2020-03-12,17,0,1.6
2020-03-13,22,0,1.9
2020-03-14,19,0,2.2
2020-03-15,26,0,2.7
2020-03-16,34,0,3.1
2020-03-17,33,0,3.6
2020-03-18,48,0,4.1
2020-03-19,66,0,5.1
2020-03-20,53,0,5.8
2020-03-21,69,0,6.8
2020-03-22,99,0,8.2
2020-03-23,116,0,10.0
2020-03-24,135,0,12.1
2020-03-25,117,0,13.5
2020-03-26,156,0,15.3
2020-03-27,137,0,17.0
2020-03-28,156,0,18.8
2020-03-29,129,0,19.5
2020-03-30,207,0,21.3
2020-03-31,277,0,24.2
2020-04-01,301,0,28.0
2020-04-02,212,0,29.1
2020-04-03,254,0,31.6
2020-04-04,188,0,32.2
2020-04-05,149,0,32.6
2020-04-06,212,0,32.7
2020-04-07,228,0,31.7
2020-04-08,187,0,29.4
2020-04-09,233,0,29.9
2020-04-10,172,0,28.1
2020-04-11,173,0,27.9
2020-04-12,216,0,29.2
2020-04-13,172,0,28.4
2020-04-14,210,0,28.0
2020-04-15,217,0,28.6
2020-04-16,268,0,29.3
2020-04-17,257,169,31.1
2020-04-18,195,138,31.5
2020-04-19,245,236,32.1
2020-04-20,187,97,32.5
2020-04-21,220,120,32.7
2020-04-22,334,259,35.1
2020-04-23,273,172,35.2
2020-04-24,297,139,36.0
2020-04-25,247,149,37.1
2020-04-26,243,97,37.1
2020-04-27,319,120,39.7
2020-04-28,271,104,40.8
2020-04-29,380,119,41.7
2020-04-30,295,217,42.2
2020-05-01,293,132,42.1
2020-05-02,199,125,41.1
2020-05-03,172,71,39.6
2020-05-04,238,68,38.0
2020-05-05,283,67,38.2
2020-05-06,333,82,37.3
2020-05-07,312,101,37.6
2020-05-08,269,80,37.1
2020-05-09,176,85,36.6
2020-05-10,198,65,37.2
2020-05-11,303,65,38.5
2020-05-12,322,145,39.3
2020-05-13,298,84,38.6
2020-05-14,225,103,36.8
2020-05-15,251,120,36.4
2020-05-16,256,86,38.1
2020-05-17,204,69,38.2
2020-05-18,270,91,37.5
2020-05-19,293,65,37.0
2020-05-20,275,96,36.4
2020-05-21,280,77,37.6
2020-05-22,240,83,37.4
2020-05-23,164,78,35.5
2020-05-24,145,57,34.3
2020-05-25,192,42,32.7
2020-05-26,160,30,29.9
2020-05-27,197,40,28.3
2020-05-28,191,67,26.5
2020-05-29,171,51,25.1
2020-05-30,139,42,24.5
2020-05-31,151,39,24.6
2020-06-01,217,34,25.2
2020-06-02,219,49,26.4
2020-06-03,173,30,26.0
2020-06-04,143,40,24.9
2020-06-05,153,18,24.5
2020-06-06,105,42,23.9
2020-06-07,127,17,23.4
2020-06-08,174,9,22.5
2020-06-09,176,58,21.6
2020-06-10,166,0,21.4
2020-06-11,181,29,22.2
2020-06-12,173,40,22.7
2020-06-13,134,36,23.2
2020-06-14,144,27,23.6
2020-06-15,167,24,23.4
2020-06-16,160,37,23.1
2020-06-17,164,22,23.1
2020-06-18,168,25,22.8
2020-06-19,153,31,22.4
2020-06-20,143,43,22.6
2020-06-21,130,16,22.3
2020-06-22,177,20,22.5
2020-06-23,169,18,22.7
2020-06-24,172,10,22.8
2020-06-25,126,32,22.0
2020-06-26,114,15,21.2
2020-06-27,87,28,20.1
2020-06-28,78,13,19.0
2020-06-29,129,11,18.0
2020-06-30,129,19,17.2
2020-07-01,120,10820,16.1
2020-07-02,105,96,15.7
2020-07-03,108,113,15.5
2020-07-04,84,103,15.4
2020-07-05,127,106,16.4
2020-07-06,138,69,16.7
2020-07-07,107,131,16.2
2020-07-08,110,139,16.0
2020-07-09,95,118,15.8
2020-07-10,100,65,15.7
2020-07-11,95,116,15.9
2020-07-12,46,110,14.3
2020-07-13,104,93,13.5
2020-07-14,88,48,13.1
2020-07-15,114,76,13.2
2020-07-16,92,103,13.1
2020-07-17,79,104,12.7
2020-07-18,63,110,12.0
2020-07-19,48,109,12.0
2020-07-20,83,76,11.6
2020-07-21,68,33,11.2
2020-07-22,88,60,10.7
2020-07-23,94,78,10.8
2020-07-24,83,83,10.8
2020-07-25,44,69,10.5
2020-07-26,38,100,10.3
2020-07-27,92,65,10.5
2020-07-28,78,23,10.7
2020-07-29,108,92,11.1
2020-07-30,110,67,11.3
2020-07-31,75,96,11.2
2020-08-01,69,77,11.7
2020-08-02,54,83,12.0
2020-08-03,108,108,12.3
2020-08-04,87,87,12.5
2020-08-05,115,98,12.7
