date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-26,1,0,0
2020-02-27,1,0,0
2020-02-28,2,0,0.1
2020-02-29,0,0,0.1
2020-03-01,1,0,0.1
2020-03-02,0,0,0.1
2020-03-03,7,0,0.2
2020-03-04,7,0,0.3
2020-03-05,1,0,0.3
2020-03-06,5,0,0.3
2020-03-07,3,0,0.3
2020-03-08,2,0,0.4
2020-03-09,5,0,0.5
2020-03-10,16,0,0.6
2020-03-11,14,0,0.7
2020-03-12,18,0,1.0
2020-03-13,37,0,1.5
2020-03-14,16,0,1.8
2020-03-15,35,0,2.2
2020-03-16,23,0,2.5
2020-03-17,38,0,2.9
2020-03-18,74,0,3.9
2020-03-19,57,0,4.5
2020-03-20,71,0,5.1
2020-03-21,77,0,6.0
2020-03-22,90,0,6.9
2020-03-23,195,0,9.7
2020-03-24,165,0,11.7
2020-03-25,188,0,13.5
2020-03-26,215,0,16.1
2020-03-27,243,0,18.8
2020-03-28,183,0,20.5
2020-03-29,209,0,22.5
2020-03-30,301,0,24.1
2020-03-31,324,0,26.7
2020-04-01,333,0,29.0
2020-04-02,372,0,31.5
2020-04-03,353,0,33.2
2020-04-04,269,0,34.7
2020-04-05,281,0,35.8
2020-04-06,385,0,37.1
2020-04-07,388,0,38.2
2020-04-08,408,0,39.4
2020-04-09,325,0,38.6
2020-04-10,319,0,38.1
2020-04-11,271,0,38.1
2020-04-12,261,0,37.8
2020-04-13,291,0,36.3
2020-04-14,289,0,34.7
2020-04-15,294,0,32.9
2020-04-16,336,0,33.1
2020-04-17,365,360,33.8
2020-04-18,330,344,34.7
2020-04-19,317,273,35.6
2020-04-20,361,256,36.8
2020-04-21,407,235,38.6
2020-04-22,521,251,42.3
2020-04-23,474,436,44.5
2020-04-24,421,224,45.4
2020-04-25,377,297,46.2
2020-04-26,357,150,46.8
2020-04-27,511,244,49.2
2020-04-28,462,338,50.1
2020-04-29,474,128,49.3
2020-04-30,424,239,48.5
2020-05-01,493,238,49.7
2020-05-02,302,273,48.4
2020-05-03,316,158,47.8
2020-05-04,393,134,45.9
2020-05-05,331,162,43.8
2020-05-06,388,151,42.4
2020-05-07,396,242,42.0
