date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-11,1,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,1,0,0
2020-02-25,3,0,0.1
2020-02-26,2,0,0.1
2020-02-27,2,0,0.1
2020-02-28,3,0,0.1
2020-02-29,1,0,0.1
2020-03-01,4,0,0.2
2020-03-02,12,0,0.3
2020-03-03,6,0,0.3
2020-03-04,18,0,0.5
2020-03-05,14,0,0.6
2020-03-06,24,0,0.9
2020-03-07,15,0,1.1
2020-03-08,22,0,1.2
2020-03-09,53,0,1.7
2020-03-10,92,0,2.6
2020-03-11,183,0,4.5
2020-03-12,164,0,6.2
2020-03-13,134,0,7.4
2020-03-14,150,0,8.9
2020-03-15,165,0,10.5
2020-03-16,233,0,12.5
2020-03-17,311,0,15.0
2020-03-18,355,0,16.9
2020-03-19,332,0,18.8
2020-03-20,426,0,22.0
2020-03-21,350,0,24.2
2020-03-22,438,0,27.3
2020-03-23,687,0,32.4
2020-03-24,632,0,35.9
2020-03-25,760,0,40.4
2020-03-26,765,0,45.2
2020-03-27,815,0,49.6
2020-03-28,576,0,52.2
2020-03-29,596,0,53.9
2020-03-30,866,0,55.9
2020-03-31,934,0,59.3
2020-04-01,979,0,61.7
2020-04-02,1067,0,65.1
2020-04-03,980,0,67.0
2020-04-04,767,0,69.0
2020-04-05,633,0,69.5
2020-04-06,857,0,69.3
2020-04-07,952,0,69.6
2020-04-08,873,0,68.4
2020-04-09,800,0,65.4
2020-04-10,618,0,61.3
2020-04-11,519,0,58.6
2020-04-12,501,0,57.1
2020-04-13,597,0,54.3
2020-04-14,595,0,50.2
2020-04-15,659,0,47.9
2020-04-16,576,0,45.4
2020-04-17,579,704,45.0
2020-04-18,400,689,43.6
2020-04-19,395,453,42.4
2020-04-20,433,297,40.6
2020-04-21,465,418,39.1
2020-04-22,398,280,36.2
2020-04-23,520,415,35.6
2020-04-24,378,296,33.3
2020-04-25,333,278,32.6
2020-04-26,311,267,31.7
2020-04-27,418,225,31.5
2020-04-28,312,146,29.8
2020-04-29,428,111,30.1
2020-04-30,423,207,29.0
2020-05-01,353,180,28.8
2020-05-02,247,223,27.8
2020-05-03,167,128,26.2
2020-05-04,249,160,24.3
2020-05-05,217,252,23.3
2020-05-06,267,117,21.5
2020-05-07,273,142,19.8
2020-05-08,206,124,18.1
2020-05-09,129,111,16.9
2020-05-10,126,95,16.4
2020-05-11,162,62,15.4
2020-05-12,194,89,15.1
2020-05-13,204,44,14.4
2020-05-14,158,89,13.2
2020-05-15,133,80,12.4
2020-05-16,72,166,11.7
2020-05-17,78,81,11.1
2020-05-18,111,47,10.6
2020-05-19,129,42,9.9
2020-05-20,141,50,9.2
2020-05-21,156,49,9.1
2020-05-22,81,55,8.5
2020-05-23,65,59,8.5
2020-05-24,52,38,8.2
2020-05-25,57,38,7.6
2020-05-26,66,22,6.9
2020-05-27,84,27,6.2
2020-05-28,75,16,5.4
2020-05-29,56,30,5.1
2020-05-30,39,25,4.7
2020-05-31,38,30,4.7
2020-06-01,50,21,4.5
2020-06-02,49,32,4.4
2020-06-03,79,21,4.4
2020-06-04,58,21,4.1
2020-06-05,45,36,4.0
2020-06-06,47,25,4.1
2020-06-07,45,15,4.1
2020-06-08,57,0,4.3
2020-06-09,71,55,4.5
2020-06-10,52,15,4.1
2020-06-11,47,31,4.1
2020-06-12,54,21,4.2
2020-06-13,39,36,4.1
2020-06-14,31,25,3.9
2020-06-15,41,8,3.7
2020-06-16,46,15,3.4
2020-06-17,43,9,3.4
2020-06-18,46,17,3.3
2020-06-19,37,16,3.1
2020-06-20,29,29,3.0
2020-06-21,27,18,3.0
2020-06-22,51,21,3.1
2020-06-23,50,18,3.2
2020-06-24,46,10,3.2
2020-06-25,57,47,3.3
2020-06-26,48,52,3.5
2020-06-27,32,46,3.5
2020-06-28,22,14,3.5
2020-06-29,58,9,3.5
2020-06-30,52,19,3.5
2020-07-01,42,6025,3.5
2020-07-02,40,34,3.3
2020-07-03,38,9,3.1
2020-07-04,32,38,3.2
2020-07-05,51,37,3.5
2020-07-06,54,23,3.5
2020-07-07,60,37,3.5
2020-07-08,57,44,3.7
2020-07-09,54,68,3.9
2020-07-10,40,31,3.9
2020-07-11,19,91,3.7
2020-07-12,38,45,3.5
2020-07-13,85,29,3.9
2020-07-14,62,42,4.0
2020-07-15,76,50,4.1
2020-07-16,70,68,4.3
2020-07-17,48,56,4.5
2020-07-18,47,109,4.8
2020-07-19,41,51,4.8
2020-07-20,97,47,4.9
2020-07-21,81,44,5.1
2020-07-22,79,47,5.2
2020-07-23,70,96,5.2
2020-07-24,83,73,5.5
2020-07-25,56,66,5.6
2020-07-26,65,87,6.0
2020-07-27,99,87,6.0
2020-07-28,100,61,6.2
2020-07-29,99,66,6.4
2020-07-30,102,114,6.7
2020-07-31,73,91,6.6
2020-08-01,58,103,6.7
2020-08-02,75,70,6.7
2020-08-03,87,97,6.6
2020-08-04,104,86,6.7
2020-08-05,113,74,6.8
2020-08-06,105,105,6.9
2020-08-07,123,90,7.5
2020-08-08,55,112,7.4
2020-08-09,67,117,7.3
2020-08-10,143,65,7.9
2020-08-11,149,90,8.4
2020-08-12,161,93,9.0
2020-08-13,124,0,9.2
2020-08-14,126,300,9.2
2020-08-15,106,119,9.7
2020-08-16,88,136,10.0
2020-08-17,189,95,10.5
2020-08-18,181,145,10.9
2020-08-19,152,105,10.8
2020-08-20,204,172,11.6
2020-08-21,166,101,12.1
2020-08-22,119,183,12.3
2020-08-23,144,155,12.9
2020-08-24,195,133,13.0
2020-08-25,169,206,12.8
2020-08-26,164,155,12.9
2020-08-27,229,210,13.3
2020-08-28,221,166,13.8
2020-08-29,139,143,14.1
2020-08-30,133,197,14.0
2020-08-31,216,160,14.2
2020-09-01,314,188,15.8
2020-09-02,333,190,17.7
2020-09-03,347,216,19.0
2020-09-04,356,296,20.5
2020-09-05,270,232,21.9
2020-09-06,203,308,22.7
2020-09-07,463,274,25.5
2020-09-08,342,327,25.8
2020-09-09,344,315,25.9
2020-09-10,391,304,26.4
2020-09-11,331,416,26.2
2020-09-12,229,393,25.7
2020-09-13,112,311,24.7
2020-09-14,297,218,22.8
2020-09-15,269,278,22.0
2020-09-16,293,243,21.5
2020-09-17,323,247,20.7
2020-09-18,386,377,21.3
2020-09-19,338,320,22.6
2020-09-20,408,241,25.8
2020-09-21,427,282,27.3
2020-09-22,518,354,30.1
2020-09-23,658,531,34.1
2020-09-24,599,620,37.2
2020-09-25,602,584,39.6
2020-09-26,548,361,41.9
2020-09-27,528,587,43.3
2020-09-28,742,397,46.8
2020-09-29,701,504,48.8
