date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-02,1,0,0
2020-03-03,0,0,0
2020-03-04,1,0,0.1
2020-03-05,2,0,0.1
2020-03-06,1,0,0.2
2020-03-07,2,0,0.3
2020-03-08,0,0,0.3
2020-03-09,3,0,0.4
2020-03-10,4,0,0.5
2020-03-11,1,0,0.5
2020-03-12,2,0,0.5
2020-03-13,6,0,0.7
2020-03-14,6,0,0.8
2020-03-15,10,0,1.2
2020-03-16,7,0,1.3
2020-03-17,16,0,1.8
2020-03-18,14,0,2.2
2020-03-19,20,0,3.0
2020-03-20,26,0,3.7
2020-03-21,23,0,4.3
2020-03-22,20,0,4.7
2020-03-23,58,0,6.6
2020-03-24,76,0,8.9
2020-03-25,76,0,11.2
2020-03-26,98,0,14.0
2020-03-27,101,0,16.8
2020-03-28,113,0,20.2
2020-03-29,107,0,23.4
2020-03-30,176,0,27.9
2020-03-31,210,0,32.8
2020-04-01,306,0,41.4
2020-04-02,219,0,46.0
2020-04-03,260,0,51.9
2020-04-04,254,0,57.2
2020-04-05,222,0,61.5
2020-04-06,375,0,68.8
2020-04-07,351,0,74.1
2020-04-08,287,0,73.4
2020-04-09,313,0,76.9
2020-04-10,245,0,76.4
2020-04-11,264,0,76.7
2020-04-12,200,0,75.9
2020-04-13,231,0,70.6
2020-04-14,257,0,67.1
2020-04-15,282,0,66.9
2020-04-16,294,0,66.2
2020-04-17,292,263,67.9
2020-04-18,378,158,72.2
2020-04-19,274,280,74.9
2020-04-20,315,216,78.0
2020-04-21,287,164,79.1
2020-04-22,360,320,82.1
2020-04-23,330,223,83.4
2020-04-24,330,228,84.8
2020-04-25,215,226,78.7
2020-04-26,158,159,74.4
2020-04-27,281,139,73.2
2020-04-28,358,104,75.8
2020-04-29,354,50,75.5
2020-04-30,384,328,77.6
2020-05-01,271,261,75.4
2020-05-02,183,128,74.2
2020-05-03,161,223,74.3
2020-05-04,232,87,72.5
2020-05-05,251,80,68.5
2020-05-06,242,64,64.3
2020-05-07,199,249,57.4
2020-05-08,159,160,53.2
2020-05-09,150,87,52.0
2020-05-10,147,59,51.5
2020-05-11,228,94,51.3
2020-05-12,217,79,50.1
2020-05-13,143,135,46.4
2020-05-14,137,94,44.0
2020-05-15,137,66,43.2
2020-05-16,126,78,42.3
2020-05-17,98,26,40.5
2020-05-18,145,14,37.4
2020-05-19,122,85,33.8
2020-05-20,131,63,33.4
2020-05-21,129,55,33.1
2020-05-22,95,51,31.6
2020-05-23,76,73,29.7
2020-05-24,76,16,28.9
2020-05-25,59,49,25.7
2020-05-26,100,24,24.9
2020-05-27,116,27,24.3
2020-05-28,49,22,21.3
2020-05-29,70,58,20.4
2020-05-30,46,37,19.3
2020-05-31,46,127,18.1
2020-06-01,71,17,18.5
2020-06-02,59,26,17.0
2020-06-03,51,28,14.6
2020-06-04,59,20,15.0
2020-06-05,42,18,13.9
2020-06-06,28,17,13.3
2020-06-07,17,8,12.2
2020-06-08,34,2,10.9
2020-06-09,40,31,10.1
2020-06-10,36,10,9.6
2020-06-11,23,13,8.2
2020-06-12,40,15,8.1
2020-06-13,32,9,8.2
2020-06-14,30,9,8.8
2020-06-15,31,4,8.6
2020-06-16,18,17,7.9
2020-06-17,19,14,7.2
2020-06-18,23,13,7.2
2020-06-19,14,7,6.3
2020-06-20,17,13,5.7
2020-06-21,4,8,4.7
2020-06-22,24,6,4.4
2020-06-23,26,7,4.7
2020-06-24,11,0,4.4
2020-06-25,12,5,4.1
2020-06-26,8,10,3.8
2020-06-27,14,3,3.7
2020-06-28,9,2,3.8
2020-06-29,10,1,3.4
2020-06-30,11,3,2.8
2020-07-01,7,4484,2.7
2020-07-02,9,15,2.5
2020-07-03,8,3,2.5
2020-07-04,9,11,2.3
2020-07-05,4,8,2.2
2020-07-06,11,13,2.2
2020-07-07,12,3,2.3
2020-07-08,12,4,2.4
2020-07-09,18,10,2.8
2020-07-10,10,11,2.8
2020-07-11,7,19,2.8
2020-07-12,2,16,2.7
2020-07-13,9,8,2.6
2020-07-14,11,4,2.5
2020-07-15,16,4,2.7
2020-07-16,15,12,2.6
2020-07-17,10,7,2.7
2020-07-18,4,16,2.5
2020-07-19,7,21,2.7
2020-07-20,12,7,2.8
2020-07-21,14,3,2.9
2020-07-22,16,9,2.9
2020-07-23,8,17,2.6
2020-07-24,6,9,2.5
2020-07-25,5,12,2.5
2020-07-26,6,4,2.5
2020-07-27,10,4,2.4
2020-07-28,5,11,2.1
2020-07-29,21,11,2.3
2020-07-30,15,7,2.6
2020-07-31,12,19,2.7
2020-08-01,9,14,3.0
2020-08-02,16,13,3.2
2020-08-03,19,13,3.7
2020-08-04,19,10,4.2
2020-08-05,30,20,4.5
2020-08-06,24,18,4.8
2020-08-07,15,29,4.9
2020-08-08,12,20,5.0
2020-08-09,15,18,5.0
2020-08-10,21,10,5.0
2020-08-11,46,21,6.0
2020-08-12,39,18,6.4
2020-08-13,53,0,7.5
2020-08-14,31,76,8.1
2020-08-15,19,40,8.3
2020-08-16,11,39,8.3
2020-08-17,32,18,8.6
2020-08-18,36,22,8.3
2020-08-19,48,22,8.6
2020-08-20,42,30,8.1
2020-08-21,42,38,8.6
2020-08-22,33,38,9.1
2020-08-23,23,28,9.5
2020-08-24,40,45,9.9
2020-08-25,49,18,10.3
2020-08-26,68,47,11.1
2020-08-27,66,54,12.0
2020-08-28,67,46,12.9
2020-08-29,78,19,14.6
2020-08-30,61,91,16.0
2020-08-31,91,100,17.9
2020-09-01,118,89,20.5
2020-09-02,128,95,22.7
2020-09-03,203,73,27.9
2020-09-04,176,117,31.9
2020-09-05,233,116,37.7
2020-09-06,170,232,41.7
2020-09-07,203,190,45.9
2020-09-08,223,108,49.8
2020-09-09,234,216,53.8
2020-09-10,235,203,54.9
2020-09-11,198,218,55.8
2020-09-12,155,228,52.9
2020-09-13,141,195,51.9
2020-09-14,195,89,51.5
2020-09-15,265,201,53.1
2020-09-16,329,278,56.6
2020-09-17,370,264,61.7
2020-09-18,464,332,71.6
2020-09-19,432,370,81.9
2020-09-20,588,418,98.6
2020-09-21,614,409,114.3
2020-09-22,548,537,124.8
2020-09-23,638,667,136.3
2020-09-24,719,523,149.3
2020-09-25,604,576,154.6
2020-09-26,776,522,167.4
2020-09-27,655,483,169.8
2020-09-28,967,277,183.0
2020-09-29,1039,756,201.4
2020-09-30,958,593,213.3
2020-10-01,1171,363,230.2
2020-10-02,1213,421,252.8
2020-10-03,1158,906,267.1
2020-10-04,1189,2629,287.1
2020-10-05,1361,1113,301.7
2020-10-06,1427,1233,316.2
2020-10-07,1451,1057,334.6
2020-10-08,1359,1274,341.6
2020-10-09,1170,1087,340.0
2020-10-10,836,1151,328.0
2020-10-11,919,967,317.9
2020-10-12,1382,1150,318.8
2020-10-13,1280,1045,313.2
2020-10-14,1376,1228,310.4
2020-10-15,1163,1333,303.1
2020-10-16,1073,1178,299.5
2020-10-17,806,1101,298.4
2020-10-18,825,555,298.4
2020-10-19,1408,707,295.8
2020-10-20,1432,1438,301.5
2020-10-21,1504,1888,306.3
2020-10-22,1225,1393,308.6
2020-10-23,1035,1277,307.2
2020-10-24,863,1150,309.3
2020-10-25,848,1048,2183.3
2020-10-26,1316,970,306.7
2020-10-27,1172,1162,297.1
2020-10-28,1166,1021,284.5
2020-10-29,1116,1136,280.4
2020-10-30,1207,1054,286.8
2020-10-31,884,1163,287.6
2020-11-01,994,1170,293.0
2020-11-02,1671,1039,306.3
