date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-01,2,0,0
2020-03-02,4,0,0.1
2020-03-03,1,0,0.1
2020-03-04,3,0,0.2
2020-03-05,6,0,0.3
2020-03-06,2,0,0.3
2020-03-07,6,0,0.4
2020-03-08,4,0,0.5
2020-03-09,8,0,0.5
2020-03-10,17,0,0.8
2020-03-11,27,0,1.1
2020-03-12,47,0,1.8
2020-03-13,39,0,2.5
2020-03-14,31,0,2.9
2020-03-15,44,0,3.5
2020-03-16,56,0,4.4
2020-03-17,68,0,5.2
2020-03-18,100,0,6.5
2020-03-19,122,0,7.7
2020-03-20,152,0,9.6
2020-03-21,125,0,11.2
2020-03-22,111,0,12.4
2020-03-23,239,0,15.4
2020-03-24,249,0,18.4
2020-03-25,239,0,20.7
2020-03-26,313,0,24.0
2020-03-27,279,0,26.1
2020-03-28,323,0,29.4
2020-03-29,366,0,33.6
2020-03-30,429,0,36.8
2020-03-31,415,0,39.7
2020-04-01,408,0,42.5
2020-04-02,450,0,44.8
2020-04-03,373,0,46.3
2020-04-04,344,0,46.7
2020-04-05,291,0,45.5
2020-04-06,360,0,44.3
2020-04-07,382,0,43.7
2020-04-08,359,0,43.0
2020-04-09,345,0,41.1
2020-04-10,363,0,41.0
2020-04-11,252,0,39.5
2020-04-12,238,0,38.6
2020-04-13,280,0,37.2
2020-04-14,323,0,36.3
2020-04-15,390,0,36.7
2020-04-16,513,0,39.6
2020-04-17,447,373,41.0
2020-04-18,546,327,45.9
2020-04-19,340,382,47.6
2020-04-20,406,360,49.8
2020-04-21,495,330,52.6
2020-04-22,579,346,55.8
2020-04-23,551,398,56.4
2020-04-24,478,311,57.0
2020-04-25,385,320,54.2
2020-04-26,318,296,53.8
2020-04-27,417,264,54.0
2020-04-28,378,341,52.1
2020-04-29,440,200,49.8
2020-04-30,450,275,48.1
2020-05-01,472,295,47.9
2020-05-02,323,239,46.9
2020-05-03,301,175,46.7
2020-05-04,237,211,43.7
2020-05-05,317,228,42.6
2020-05-06,311,135,40.4
2020-05-07,370,199,39.1
2020-05-08,343,222,37.0
2020-05-09,164,147,34.3
2020-05-10,218,160,32.9
2020-05-11,251,121,33.1
2020-05-12,308,149,32.9
2020-05-13,245,124,31.9
2020-05-14,259,145,30.0
2020-05-15,265,100,28.6
2020-05-16,175,114,28.9
2020-05-17,171,89,28.0
2020-05-18,207,143,27.3
2020-05-19,278,116,26.9
2020-05-20,253,110,26.9
2020-05-21,224,113,26.4
2020-05-22,195,143,25.3
2020-05-23,147,94,24.7
2020-05-24,136,84,24.2
2020-05-25,138,56,23.0
2020-05-26,151,54,20.8
2020-05-27,195,58,19.9
2020-05-28,156,77,18.7
2020-05-29,154,94,18.0
2020-05-30,115,0,17.5
2020-05-31,78,0,16.6
2020-06-01,124,29,16.3
2020-06-02,125,65,15.9
2020-06-03,125,38,14.7
2020-06-04,136,53,14.4
2020-06-05,103,39,13.5
2020-06-06,78,40,12.9
2020-06-07,64,36,12.6
2020-06-08,119,4,12.6
2020-06-09,102,63,12.2
2020-06-10,92,26,11.7
2020-06-11,92,49,10.9
2020-06-12,79,33,10.5
2020-06-13,86,40,10.7
2020-06-14,76,42,10.9
2020-06-15,102,21,10.6
2020-06-16,108,32,10.7
2020-06-17,81,33,10.4
