date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-02-01,0,0,0
2020-02-02,0,0,0
2020-02-03,0,0,0
2020-02-04,0,0,0
2020-02-05,0,0,0
2020-02-06,0,0,0
2020-02-07,0,0,0
2020-02-08,0,0,0
2020-02-09,0,0,0
2020-02-10,0,0,0
2020-02-11,0,0,0
2020-02-12,0,0,0
2020-02-13,0,0,0
2020-02-14,0,0,0
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,1,0,0
2020-02-28,2,0,0.1
2020-02-29,0,0,0.1
2020-03-01,2,0,0.1
2020-03-02,3,0,0.2
2020-03-03,5,0,0.3
2020-03-04,2,0,0.3
2020-03-05,1,0,0.3
2020-03-06,1,0,0.2
2020-03-07,5,0,0.3
2020-03-08,3,0,0.4
2020-03-09,8,0,0.4
2020-03-10,18,0,0.6
2020-03-11,10,0,0.8
2020-03-12,14,0,1.1
2020-03-13,12,0,1.3
2020-03-14,12,0,1.4
2020-03-15,9,0,1.5
2020-03-16,28,0,1.9
2020-03-17,31,0,2.2
2020-03-18,47,0,2.8
2020-03-19,55,0,3.5
2020-03-20,59,0,4.4
2020-03-21,77,0,5.6
2020-03-22,94,0,7.1
2020-03-23,144,0,9.2
2020-03-24,157,0,11.5
2020-03-25,150,0,13.4
2020-03-26,177,0,15.6
2020-03-27,153,0,17.3
2020-03-28,206,0,19.6
2020-03-29,228,0,22.1
2020-03-30,286,0,24.7
2020-03-31,319,0,27.6
2020-04-01,315,0,30.6
2020-04-02,241,0,31.8
2020-04-03,274,0,33.9
2020-04-04,202,0,33.9
2020-04-05,216,0,33.6
2020-04-06,320,0,34.3
2020-04-07,337,0,34.6
2020-04-08,318,0,34.7
2020-04-09,304,0,35.8
2020-04-10,299,0,36.3
2020-04-11,260,0,37.3
2020-04-12,268,0,38.3
2020-04-13,325,0,38.3
2020-04-14,314,0,37.9
2020-04-15,474,0,40.7
2020-04-16,372,0,42.0
2020-04-17,350,315,43.0
2020-04-18,364,370,44.9
2020-04-19,417,257,47.5
2020-04-20,400,150,48.9
2020-04-21,349,251,49.6
2020-04-22,564,400,51.2
2020-04-23,449,246,52.6
2020-04-24,591,398,56.9
2020-04-25,413,333,57.8
2020-04-26,422,232,58.0
2020-04-27,510,331,59.9
2020-04-28,488,277,62.4
2020-04-29,714,166,65.2
2020-04-30,576,345,67.5
2020-05-01,620,244,68.0
2020-05-02,384,344,67.5
2020-05-03,384,205,66.8
2020-05-04,350,179,63.9
2020-05-05,441,316,63.1
2020-05-06,413,179,57.6
2020-05-07,458,272,55.4
2020-05-08,352,221,50.6
2020-05-09,245,160,48.0
2020-05-10,297,128,46.4
2020-05-11,427,108,47.9
2020-05-12,375,143,46.6
2020-05-13,405,141,46.5
2020-05-14,355,133,44.6
2020-05-15,337,151,44.3
2020-05-16,258,133,44.6
2020-05-17,244,110,43.7
2020-05-18,261,113,40.6
2020-05-19,388,90,40.9
2020-05-20,295,118,38.8
2020-05-21,382,100,39.4
2020-05-22,267,87,38.1
2020-05-23,234,95,37.7
2020-05-24,205,63,36.9
2020-05-25,254,47,36.8
2020-05-26,231,66,33.9
2020-05-27,254,77,33.2
2020-05-28,274,83,31.2
2020-05-29,199,67,30.0
2020-05-30,165,63,28.7
2020-05-31,177,34,28.2
2020-06-01,192,40,27.1
2020-06-02,196,47,26.5
2020-06-03,206,66,25.6
2020-06-04,178,68,23.9
2020-06-05,155,53,23.1
2020-06-06,121,68,22.3
2020-06-07,150,16,21.8
2020-06-08,188,10,21.7
2020-06-09,172,66,21.2
2020-06-10,227,37,21.7
2020-06-11,197,27,21.9
2020-06-12,247,62,23.6
2020-06-13,193,43,24.9
2020-06-14,160,24,25.1
2020-06-15,189,40,25.2
2020-06-16,216,22,26.0
2020-06-17,230,47,26.0
2020-06-18,258,29,27.2
2020-06-19,204,40,26.4
2020-06-20,162,35,25.8
2020-06-21,116,24,25.0
